cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,tran_id,file_num,memo_cd,memo_text,sub_id
C00694323,N,Q2,P2020,202207159519943640,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04082022,-25,C00783464,H2MO04140,A2203113003CF4311A4C,1615035,,,4072520221548019778
C00694323,N,Q2,P2020,202207159519948957,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,06302022,-20,C00783464,H2MO04140,A3C237D7C3A25430DBFE,1615035,,,4072520221548036730
C00694323,N,Q2,P2020,202207159519950112,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04122022,-1,C00495846,H2MO02102,A41F1E3F541E44C60AD8,1615035,,,4072520221548040195
C00694323,N,Q2,P2020,202207159519948782,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,06062022,-10,C00458679,H8MO09153,A3B3BCC8023E54CD2AAB,1615035,,,4072520221548036204
C00694323,N,Q2,P2020,202207159519950417,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04292022,-10,C00458679,H8MO09153,A437B7B397CD64CA2971,1615035,,,4072520221548041111
C00694323,N,Q2,P2020,202207159519950418,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-15,C00495846,H2MO02102,A437BC5C5E37548F9A18,1615035,,,4072520221548041113
C00694323,N,Q2,P2020,202207159519949173,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-3,C00495846,H2MO02102,A3D3DCB09C4CE4EC7B9E,1615035,,,4072520221548037379
C00694323,N,Q2,P2020,202207159519943100,24K,CCM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,637021324,,,05112022,0,C00541862,H4MO08162,A1F47A5F905624450B0A,1615035,,,4072520221548018160
C00694323,N,Q2,P2020,202207159519950531,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,06162022,-10,C00458679,H8MO09153,A440EA4CF43784402948,1615035,,,4072520221548041451
C00694323,N,Q2,P2020,202207159519943845,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,05252022,-10,C00458679,H8MO09153,A230795598CF44C2D86A,1615035,,,4072520221548020393
C00694323,N,Q2,P2020,202207159519947925,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04222022,-1,C00458679,H8MO09153,A371479276EC849A4933,1615035,,,4072520221548033633
C00694323,N,Q2,P2020,202207159519942652,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04022022,-35,C00458679,H8MO09153,A1D22365C067F47AB853,1615035,,,4072520221548016814
C00694323,N,Q2,P2020,202207159519942966,24K,CCM,GREITENS FOR US SENATE,CHESTERFIELD,MO,63006,,,06122022,-15,C00774059,S2MO00536,A1E9F0ABA2B3C4664A20,1615035,,,4072520221548017756
C00694323,N,Q2,P2020,202207159519943088,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04242022,-25,C00783464,H2MO04140,A1F365B9655E649BF9DA,1615035,,,4072520221548018124
C00694323,N,Q2,P2020,202207159519943091,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,05012022,-10,C00495846,H2MO02102,A1F39418233354392AFB,1615035,,,4072520221548018132
C00694323,N,Q2,P2020,202207159519942573,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05222022,-25,C00783464,H2MO04140,A1CC6F67BC1A94405889,1615035,,,4072520221548016579
C00694323,N,Q2,P2020,202207159519942695,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04282022,-10,C00458679,H8MO09153,A1D51D604893A4154A53,1615035,,,4072520221548016945
C00694323,N,Q2,P2020,202207159519945057,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-20,C00495846,H2MO02102,A28DF023207334CB18E1,1615035,,,4072520221548024031
C00694323,N,Q2,P2020,202207159519945556,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04242022,-10,C00783464,H2MO04140,A2B59D8EF7E644AD68C9,1615035,,,4072520221548025528
C00694323,N,Q2,P2020,202207159519950698,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04152022,-25,C00783464,H2MO04140,A44E4781BEAC3417D96A,1615035,,,4072520221548041952
C00694323,N,Q2,P2020,202207159519945017,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04052022,-250,C00495846,H2MO02102,A28AD666D2E1B4E2AB47,1615035,,,4072520221548023909
C00694323,N,Q2,P2020,202207159519949909,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04112022,-25,C00783464,H2MO04140,A40EE70C24AC34C6F867,1615035,,,4072520221548039587
C00694323,N,Q2,P2020,202207159519946672,24K,CCM,JOSH HAWLEY FOR SENATE,ST. LOUIS,MO,63131,,,04262022,-10,C00652727,S8MO00160,A3109EA02479343CB808,1615035,,,4072520221548028875
C00694323,N,Q2,P2020,202207159519949280,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04192022,-25,C00783464,H2MO04140,A3DD4C9D9FAAB48C6841,1615035,,,4072520221548037700
C00694323,N,Q2,P2020,202207159519944799,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05132022,-25,C00783464,H2MO04140,A27AC35AAD4FF42A485C,1615035,,,4072520221548023256
C00694323,N,Q2,P2020,202207159519946485,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,05072022,-10,C00495846,H2MO02102,A301ECFE720CE4881A6F,1615035,,,4072520221548028313
C00694323,N,Q2,P2020,202207159519942659,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05262022,-1,C00783464,H2MO04140,A1D2AB2BC3F7C4CD4B05,1615035,,,4072520221548016837
C00694323,N,Q2,P2020,202207159519945481,24K,CCM,GREITENS FOR US SENATE,CHESTERFIELD,MO,63006,,,05132022,-25,C00774059,S2MO00536,A2AFC5CE63E8D448AB7F,1615035,,,4072520221548025302
C00694323,N,Q2,P2020,202207159519940652,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,06012022,-4,C00783464,H2MO04140,A13591568594049ED989,1615035,,,4072520221548010815
C00694323,N,Q2,P2020,202207159519942781,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-25,C00495846,H2MO02102,A1DB1FA918D584F9888E,1615035,,,4072520221548017203
C00694323,N,Q2,P2020,202207159519946072,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06102022,-3,C00495846,H2MO02102,A2DF4EE89A8A2454A936,1615035,,,4072520221548027074
